occurrenceID	measurementValue	measurementType	measurementUnit
EE0493_asv.585	89	sequence reads	
EE0493_asv.586	26	sequence reads	
EE0493_asv.587	15	sequence reads	
EE0493_asv.588	29	sequence reads	
EE0493_asv.589	169	sequence reads	
EE0493_asv.591	47	sequence reads	
EE0493_asv.592	9	sequence reads	
EE0493_asv.593	502	sequence reads	
EE0493_asv.596	99	sequence reads	
EE0493_asv.597	57	sequence reads	
EE0493_asv.598	29	sequence reads	
EE0493_asv.600	98	sequence reads	
EE0493_asv.601	32	sequence reads	
EE0493_asv.602	97	sequence reads	
EE0493_asv.603	38	sequence reads	
EE0493_asv.604	77	sequence reads	
EE0493_asv.606	5	sequence reads	
EE0493_asv.610	44	sequence reads	
EE0493_asv.611	65	sequence reads	
EE0493_asv.612	363	sequence reads	
EE0493_asv.613	1020	sequence reads	
EE0493_asv.614	87	sequence reads	
EE0493_asv.615	2	sequence reads	
EE0493_asv.616	106	sequence reads	
EE0493_asv.617	33	sequence reads	
EE0493_asv.618	302	sequence reads	
EE0493_asv.619	39	sequence reads	
EE0493_asv.620	218	sequence reads	
EE0493_asv.621	24	sequence reads	
EE0493_asv.622	1095	sequence reads	
EE0493_asv.625	846	sequence reads	
EE0493_asv.626	24	sequence reads	
EE0493_asv.629	81	sequence reads	
EE0493_asv.630	594	sequence reads	
EE0493_asv.634	1	sequence reads	
EE0493_asv.636	11	sequence reads	
EE0493_asv.637	30	sequence reads	
EE0493_asv.638	50	sequence reads	
EE0493_asv.639	6	sequence reads	
EE0493_asv.640	86	sequence reads	
EE0493_asv.641	133	sequence reads	
EE0493_asv.642	37	sequence reads	
EE0493_asv.645	563	sequence reads	
EE0493_asv.646	30	sequence reads	
EE0493_asv.647	28	sequence reads	
EE0493_asv.648	250	sequence reads	
EE0493_asv.649	86	sequence reads	
EE0493_asv.651	90	sequence reads	
EE0493_asv.653	15	sequence reads	
EE0493_asv.654	23	sequence reads	
EE0493_asv.655	5	sequence reads	
EE0493_asv.656	1126	sequence reads	
EE0493_asv.657	215	sequence reads	
EE0493_asv.658	128	sequence reads	
EE0493_asv.659	89	sequence reads	
EE0493_asv.660	1	sequence reads	
EE0493_asv.661	82	sequence reads	
EE0493_asv.662	26	sequence reads	
EE0493_asv.664	6	sequence reads	
EE0493_asv.665	33	sequence reads	
EE0493_asv.666	267	sequence reads	
EE0493_asv.667	425	sequence reads	
EE0493_asv.671	8	sequence reads	
EE0493_asv.672	20	sequence reads	
EE0493_asv.673	1	sequence reads	
EE0493_asv.674	2	sequence reads	
EE0493_asv.675	83	sequence reads	
EE0493_asv.678	94	sequence reads	
EE0493_asv.679	85	sequence reads	
EE0493_asv.680	11	sequence reads	
EE0493_asv.681	109	sequence reads	
EE0493_asv.682	76	sequence reads	
EE0493_asv.684	22	sequence reads	
EE0493_asv.685	100	sequence reads	
EE0493_asv.686	2	sequence reads	
EE0493_asv.687	105	sequence reads	
EE0493_asv.689	2	sequence reads	
EE0493_asv.691	36	sequence reads	
EE0493_asv.693	11	sequence reads	
EE0493_asv.694	1	sequence reads	
EE0493_asv.696	185	sequence reads	
EE0493_asv.697	9	sequence reads	
EE0493_asv.698	25	sequence reads	
EE0493_asv.700	28	sequence reads	
EE0493_asv.702	123	sequence reads	
EE0493_asv.703	544	sequence reads	
EE0493_asv.705	13	sequence reads	
EE0493_asv.707	4	sequence reads	
EE0493_asv.708	12	sequence reads	
EE0493_asv.709	3	sequence reads	
EE0493_asv.710	42	sequence reads	
EE0493_asv.711	119	sequence reads	
EE0493_asv.714	3	sequence reads	
EE0493_asv.715	87	sequence reads	
EE0493_asv.717	106	sequence reads	
EE0493_asv.718	16	sequence reads	
EE0493_asv.720	3	sequence reads	
EE0493_asv.721	6	sequence reads	
EE0493_asv.722	63	sequence reads	
EE0493_asv.723	6	sequence reads	
EE0493_asv.724	107	sequence reads	
EE0493_asv.725	40	sequence reads	
EE0493_asv.726	22	sequence reads	
EE0493_asv.727	97	sequence reads	
EE0493_asv.728	12	sequence reads	
EE0493_asv.729	166	sequence reads	
EE0493_asv.731	97	sequence reads	
EE0493_asv.732	5	sequence reads	
EE0493_asv.733	111	sequence reads	
EE0493_asv.734	90	sequence reads	
EE0493_asv.735	198	sequence reads	
EE0493_asv.736	111	sequence reads	
EE0493_asv.737	171	sequence reads	
EE0493_asv.739	69	sequence reads	
EE0493_asv.740	311	sequence reads	
EE0493_asv.741	189	sequence reads	
EE0493_asv.742	12	sequence reads	
EE0493_asv.743	64	sequence reads	
EE0493_asv.744	5	sequence reads	
EE0493_asv.746	2	sequence reads	
EE0493_asv.747	830	sequence reads	
EE0493_asv.748	22	sequence reads	
EE0493_asv.749	69	sequence reads	
EE0493_asv.750	13	sequence reads	
EE0493_asv.753	905	sequence reads	
EE0493_asv.754	1	sequence reads	
EE0493_asv.755	110	sequence reads	
EE0493_asv.756	2	sequence reads	
EE0493_asv.757	100	sequence reads	
EE0493_asv.759	161	sequence reads	
EE0493_asv.760	21	sequence reads	
EE0493_asv.761	1	sequence reads	
EE0493_asv.764	862	sequence reads	
EE0493_asv.766	32	sequence reads	
EE0493_asv.767	51	sequence reads	
EE0493_asv.768	135	sequence reads	
EE0493_asv.769	64	sequence reads	
EE0493_asv.770	41	sequence reads	
EE0493_asv.773	634	sequence reads	
EE0493_asv.775	139	sequence reads	
EE0493_asv.776	26	sequence reads	
EE0493_asv.777	15	sequence reads	
EE0493_asv.778	54	sequence reads	
EE0493_asv.781	1	sequence reads	
EE0493_asv.786	3	sequence reads	
EE0493_asv.787	32	sequence reads	
EE0493_asv.788	49	sequence reads	
EE0493_asv.790	165	sequence reads	
EE0493_asv.791	35	sequence reads	
EE0493_asv.792	173	sequence reads	
EE0493_asv.794	36	sequence reads	
EE0493_asv.795	97	sequence reads	
EE0493_asv.796	96	sequence reads	
EE0493_asv.797	50	sequence reads	
EE0493_asv.799	84	sequence reads	
