eventID	materialSampleID	eventDate	locality	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	higherGeography	minimumDepthInMeters	maximumDepthInMeters	sampleSizeValue	sampleSizeUnit	organismQuantity	occurrenceID	organismQuantityType	verbatimIdentification	samplingProtocol	scientificName	scientificNameID	occurrenceStatus	basisOfRecord
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	13161	EE0493_asv.101	sequence reads	Cerithium_nesioticum	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Cerithium nesioticum	urn:lsid:marinespecies.org:taxname:139061	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	666	EE0493_asv.102	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	2038	EE0493_asv.103	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	82	EE0493_asv.104	sequence reads	Metazoa	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Metazoa	urn:lsid:marinespecies.org:taxname:1486573	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	7	EE0493_asv.105	sequence reads	undef_Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	126	EE0493_asv.106	sequence reads	Pseudo-nitzschia_pseudodelicatissima	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Pseudo-nitzschia pseudodelicatissima	urn:lsid:marinespecies.org:taxname:156548	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	1990	EE0493_asv.107	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	2	EE0493_asv.109	sequence reads	Clausocalanus_furcatus	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Clausocalanus furcatus	urn:lsid:marinespecies.org:taxname:104503	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	615	EE0493_asv.111	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	376	EE0493_asv.114	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
